               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
152,0.047503,0.023105,0.0080587,0.49107,0.51618,0.47578,0.18237,,,,0.005017,0.005017,0.005017
153,0.047394,0.023532,0.0080054,0.49021,0.51722,0.47594,0.18183,,,,0.004984,0.004984,0.004984
154,0.047557,0.023367,0.0082027,0.49704,0.50982,0.47502,0.18215,,,,0.004951,0.004951,0.004951
155,0.047252,0.022969,0.0077892,0.52786,0.48461,0.4748,0.18209,,,,0.004918,0.004918,0.004918
156,0.047153,0.023397,0.008071,0.52175,0.48808,0.47483,0.18195,,,,0.004885,0.004885,0.004885
157,0.046889,0.023373,0.0079655,0.52559,0.4883,0.4753,0.18253,,,,0.004852,0.004852,0.004852
158,0.046939,0.023211,0.0078254,0.51844,0.49259,0.47593,0.18268,,,,0.004819,0.004819,0.004819
159,0.047087,0.023286,0.0078529,0.53093,0.48344,0.47671,0.1829,,,,0.004786,0.004786,0.004786
160,0.047017,0.022966,0.0078041,0.53278,0.48376,0.47644,0.18289,,,,0.004753,0.004753,0.004753
161,0.0469,0.023253,0.0075899,0.53106,0.48404,0.47595,0.18276,,,,0.00472,0.00472,0.00472
162,0.046861,0.023003,0.0076708,0.53456,0.48519,0.47719,0.18311,,,,0.004687,0.004687,0.004687
163,0.046854,0.023255,0.0074804,0.51016,0.50547,0.47794,0.18358,,,,0.004654,0.004654,0.004654
164,0.046697,0.022834,0.0076833,0.50916,0.504,0.47736,0.1837,,,,0.004621,0.004621,0.004621
165,0.046646,0.023354,0.0075512,0.50527,0.51002,0.47822,0.18379,,,,0.004588,0.004588,0.004588
166,0.04646,0.022895,0.0075119,0.5051,0.50911,0.47881,0.18388,,,,0.004555,0.004555,0.004555
167,0.046595,0.022817,0.0074451,0.50406,0.50824,0.47707,0.18414,,,,0.004522,0.004522,0.004522
168,0.046652,0.022819,0.0075132,0.48778,0.5243,0.47632,0.18399,,,,0.004489,0.004489,0.004489
169,0.046333,0.022802,0.0074339,0.48948,0.52369,0.47629,0.18385,,,,0.004456,0.004456,0.004456
170,0.046264,0.022896,0.007396,0.4936,0.51936,0.47652,0.18425,,,,0.004423,0.004423,0.004423
171,0.046454,0.022766,0.0073611,0.49121,0.52058,0.47538,0.18419,,,,0.00439,0.00439,0.00439
172,0.046127,0.022767,0.0074289,0.49263,0.52138,0.47526,0.18389,,,,0.004357,0.004357,0.004357
173,0.046205,0.022767,0.0072188,0.49666,0.51767,0.47565,0.18413,,,,0.004324,0.004324,0.004324
174,0.045875,0.022775,0.0073359,0.49881,0.51536,0.47595,0.1843,,,,0.004291,0.004291,0.004291
175,0.046136,0.022803,0.0071632,0.49887,0.51534,0.47487,0.18409,,,,0.004258,0.004258,0.004258
176,0.045864,0.022695,0.0071216,0.50765,0.50471,0.4745,0.18395,,,,0.004225,0.004225,0.004225
177,0.046027,0.022946,0.0070546,0.50266,0.50989,0.47427,0.18396,,,,0.004192,0.004192,0.004192
178,0.04587,0.02272,0.0070408,0.5079,0.5045,0.47407,0.18434,,,,0.004159,0.004159,0.004159
179,0.045625,0.022909,0.0070049,0.50746,0.50723,0.47467,0.18464,,,,0.004126,0.004126,0.004126
180,0.045613,0.022681,0.0070145,0.50627,0.50741,0.47407,0.18444,,,,0.004093,0.004093,0.004093
181,0.045645,0.022663,0.0070291,0.50632,0.50667,0.47289,0.18471,,,,0.00406,0.00406,0.00406
182,0.045728,0.022477,0.0070119,0.50537,0.50746,0.4725,0.18457,,,,0.004027,0.004027,0.004027
183,0.045701,0.022719,0.0068578,0.49,0.52657,0.47339,0.1844,,,,0.003994,0.003994,0.003994
184,0.045568,0.022646,0.0069288,0.5079,0.50995,0.47407,0.18458,,,,0.003961,0.003961,0.003961
185,0.045454,0.022665,0.0066903,0.4946,0.52391,0.47358,0.18447,,,,0.003928,0.003928,0.003928
186,0.045281,0.02236,0.0068214,0.49593,0.52316,0.47309,0.18434,,,,0.003895,0.003895,0.003895
187,0.045164,0.022345,0.0067862,0.50108,0.5189,0.47281,0.18453,,,,0.003862,0.003862,0.003862
188,0.045071,0.022206,0.0068353,0.5017,0.51957,0.4727,0.18455,,,,0.003829,0.003829,0.003829
189,0.045296,0.022441,0.0067459,0.50056,0.51908,0.47223,0.18419,,,,0.003796,0.003796,0.003796
190,0.044794,0.022373,0.0067283,0.50233,0.51848,0.47171,0.18414,,,,0.003763,0.003763,0.003763
191,0.044943,0.022738,0.0067691,0.50002,0.51814,0.47178,0.18398,,,,0.00373,0.00373,0.00373
192,0.044988,0.022524,0.0066477,0.5019,0.51514,0.47207,0.18439,,,,0.003697,0.003697,0.003697
193,0.045192,0.022213,0.0067224,0.49924,0.51605,0.47236,0.18428,,,,0.003664,0.003664,0.003664
194,0.044744,0.022469,0.0066012,0.49565,0.51941,0.47209,0.18424,,,,0.003631,0.003631,0.003631
195,0.044928,0.022297,0.0064833,0.53459,0.48746,0.47256,0.18438,,,,0.003598,0.003598,0.003598
196,0.044589,0.022236,0.0065709,0.53607,0.48823,0.47283,0.18413,,,,0.003565,0.003565,0.003565
197,0.04465,0.022132,0.0065442,0.53747,0.48736,0.47226,0.18439,,,,0.003532,0.003532,0.003532
198,0.04452,0.022552,0.0066262,0.53568,0.48953,0.47336,0.18471,,,,0.003499,0.003499,0.003499
199,0.044295,0.022072,0.0062837,0.53936,0.4873,0.474,0.18493,,,,0.003466,0.003466,0.003466
200,0.044538,0.022174,0.0065741,0.53202,0.48934,0.47178,0.18479,,,,0.003433,0.003433,0.003433
201,0.044264,0.02212,0.006328,0.53932,0.48447,0.47248,0.18474,,,,0.0034,0.0034,0.0034
202,0.044288,0.021867,0.0063763,0.53305,0.49118,0.47381,0.1846,,,,0.003367,0.003367,0.003367
203,0.044484,0.022504,0.0062879,0.53297,0.49072,0.47367,0.18436,,,,0.003334,0.003334,0.003334
204,0.043922,0.02212,0.0060291,0.53253,0.4914,0.47285,0.18466,,,,0.003301,0.003301,0.003301
205,0.044215,0.0221,0.0062775,0.53108,0.49276,0.47298,0.18455,,,,0.003268,0.003268,0.003268
206,0.043797,0.021826,0.006407,0.53808,0.48691,0.47301,0.18458,,,,0.003235,0.003235,0.003235
207,0.044063,0.022048,0.0061257,0.53551,0.48885,0.47289,0.18374,,,,0.003202,0.003202,0.003202
208,0.043784,0.022051,0.0062173,0.53622,0.49095,0.47378,0.18383,,,,0.003169,0.003169,0.003169
209,0.043956,0.022105,0.0062464,0.53943,0.48483,0.47325,0.18406,,,,0.003136,0.003136,0.003136
