               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
113,0.044433,0.0019654,0.0016231,0.50325,0.51082,0.48492,0.20419,0.04653,0.001116,0.0014829,0.006304,0.006304,0.006304
114,0.044428,0.0019656,0.0016211,0.49874,0.51684,0.48608,0.20426,0.046539,0.0011157,0.0014821,0.006271,0.006271,0.006271
115,0.044311,0.0019534,0.0015972,0.4959,0.51996,0.48614,0.20441,0.046543,0.0011157,0.0014824,0.006238,0.006238,0.006238
116,0.044231,0.0019605,0.0015939,0.51301,0.50658,0.48737,0.20455,0.046544,0.0011154,0.0014822,0.006205,0.006205,0.006205
117,0.04424,0.0019644,0.0016224,0.51387,0.50817,0.48899,0.20518,0.046551,0.001115,0.0014833,0.006172,0.006172,0.006172
118,0.04424,0.0019562,0.0015763,0.50515,0.51518,0.48936,0.205,0.046545,0.0011148,0.0014833,0.006139,0.006139,0.006139
119,0.044184,0.0019689,0.0016078,0.50479,0.51437,0.48769,0.20488,0.04654,0.0011145,0.0014838,0.006106,0.006106,0.006106
120,0.044128,0.0019499,0.001575,0.5077,0.51263,0.48771,0.20473,0.046534,0.0011144,0.0014848,0.006073,0.006073,0.006073
121,0.043878,0.0019589,0.001554,0.50407,0.51609,0.48807,0.20458,0.046535,0.0011143,0.0014853,0.00604,0.00604,0.00604
122,0.043655,0.0019442,0.0016006,0.53008,0.49312,0.48819,0.20461,0.046537,0.0011142,0.001485,0.006007,0.006007,0.006007
123,0.043586,0.0019623,0.0015511,0.52958,0.49298,0.48713,0.20447,0.046542,0.0011141,0.0014851,0.005974,0.005974,0.005974
124,0.043581,0.0019548,0.0015995,0.53976,0.48388,0.48714,0.20485,0.046553,0.0011139,0.0014845,0.005941,0.005941,0.005941
125,0.043632,0.0019473,0.0015637,0.51939,0.50003,0.4873,0.20464,0.046569,0.0011135,0.0014852,0.005908,0.005908,0.005908
126,0.04381,0.00193,0.0015591,0.51889,0.49922,0.48691,0.20461,0.046573,0.0011133,0.0014846,0.005875,0.005875,0.005875
127,0.043827,0.0019544,0.0015804,0.49442,0.52122,0.48721,0.20457,0.046586,0.001113,0.0014845,0.005842,0.005842,0.005842
128,0.043731,0.0019367,0.0015941,0.49338,0.52444,0.48737,0.20429,0.046603,0.0011128,0.0014853,0.005809,0.005809,0.005809
129,0.043191,0.0019452,0.0015598,0.49834,0.52388,0.48821,0.20429,0.046609,0.0011126,0.0014857,0.005776,0.005776,0.005776
130,0.043381,0.0019551,0.0015406,0.50315,0.5227,0.48912,0.20468,0.046614,0.0011125,0.0014864,0.005743,0.005743,0.005743
131,0.04328,0.0019217,0.0015336,0.5018,0.52205,0.48952,0.20505,0.046622,0.0011125,0.0014865,0.00571,0.00571,0.00571
132,0.043293,0.0019501,0.0015335,0.49827,0.52699,0.48974,0.20486,0.046636,0.0011123,0.0014874,0.005677,0.005677,0.005677
133,0.04324,0.001964,0.0015064,0.50834,0.51602,0.49028,0.20524,0.046652,0.0011118,0.001489,0.005644,0.005644,0.005644
134,0.042865,0.0019516,0.0015016,0.50328,0.51879,0.48853,0.20473,0.046667,0.0011115,0.0014904,0.005611,0.005611,0.005611
135,0.042931,0.0019394,0.0015054,0.50304,0.51824,0.489,0.20476,0.046682,0.0011112,0.0014917,0.005578,0.005578,0.005578
136,0.043127,0.0019315,0.0015326,0.4982,0.52332,0.48906,0.20505,0.046698,0.0011109,0.0014938,0.005545,0.005545,0.005545
137,0.042866,0.0019271,0.0014943,0.53419,0.49185,0.48886,0.20474,0.046705,0.0011107,0.0014946,0.005512,0.005512,0.005512
138,0.042659,0.0019449,0.0014768,0.53434,0.49145,0.4888,0.205,0.046717,0.0011107,0.001497,0.005479,0.005479,0.005479
139,0.04283,0.0019337,0.0014935,0.53333,0.49581,0.48992,0.2051,0.046719,0.0011107,0.0014983,0.005446,0.005446,0.005446
140,0.042602,0.0019566,0.0014799,0.53286,0.49441,0.48951,0.20526,0.046727,0.0011106,0.0014999,0.005413,0.005413,0.005413
141,0.042813,0.0019537,0.0014922,0.51744,0.50582,0.48933,0.20545,0.046735,0.0011104,0.0015011,0.00538,0.00538,0.00538
142,0.04264,0.0019304,0.0014909,0.52877,0.49807,0.48943,0.20542,0.046744,0.0011103,0.0015028,0.005347,0.005347,0.005347
143,0.042377,0.0019213,0.0014748,0.52192,0.50232,0.48919,0.20541,0.046751,0.0011102,0.0015044,0.005314,0.005314,0.005314
